clip_length,Gflops
16,38.76
17,41.18
18,43.6
19,46.02
20,48.46
21,50.88
22,53.3
23,55.72
24,58.14
25,60.56
26,62.98
27,65.4
28,67.84
29,70.26
30,72.68
31,75.1
32,77.52
33,79.94
34,82.36
35,84.78
36,87.2
37,89.64
38,92.06
39,94.48
40,96.9
41,99.32
42,101.74
43,104.16
44,106.58
45,109.02
46,111.44
47,113.86
48,116.28
49,118.7
50,121.12
51,123.54
52,125.96
53,128.4
54,130.82
55,133.24
56,135.66
57,138.08
58,140.5
59,142.92
60,145.34
61,147.78
62,150.2
63,152.62
64,155.04
65,157.46
66,159.88
67,162.3
68,164.72
69,167.14
70,169.58
71,172.0
72,174.42
73,176.84
74,179.26
75,181.68
76,184.1
77,186.52
78,188.96
79,191.38
80,193.8
81,196.22
82,198.64
83,201.06
84,203.48
85,205.9
86,208.34
87,210.76
88,213.18
89,215.6
90,218.02
91,220.44
92,222.86
93,225.28
94,227.72
95,230.14
96,232.56
97,234.98
98,237.4
99,239.82
100,242.24
101,244.66
102,247.1
103,249.52
104,251.94
105,254.36
106,256.78
107,259.2
108,261.62
109,264.04
110,266.46
111,268.9
112,271.32
113,273.74
114,276.16
115,278.58
116,281.0
117,283.42
118,285.84
119,288.28
120,290.7
121,293.12
122,295.54
123,297.96
124,300.38
125,302.8
126,305.22
127,307.66
128,310.08
129,312.5
130,314.92
131,317.34
132,319.76
133,322.18
134,324.6
135,327.04
136,329.46
137,331.88
138,334.3
139,336.72
140,339.14
141,341.56
142,343.98
143,346.4
144,348.84
145,351.26
146,353.68
147,356.1
148,358.52
149,360.94
150,363.36
151,365.78
152,368.22
153,370.64
154,373.06
155,375.48
156,377.9
157,380.32
158,382.74
159,385.16
160,387.6
161,390.02
162,392.44
163,394.86
164,397.28
165,399.7
166,402.12
167,404.54
168,406.98
169,409.4
170,411.82
171,414.24
172,416.66
173,419.08
174,421.5
175,423.92
176,426.36
177,428.78
178,431.2
179,433.62
180,436.04
181,438.46
182,440.88
183,443.3
184,445.72
185,448.16
186,450.58
187,453.0
188,455.42
189,457.84
190,460.26
191,462.68
192,465.1
193,467.54
194,469.96
195,472.38
196,474.8
197,477.22
198,479.64
199,482.06
200,484.48
